"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","4940","p2mpwwhb0pg","","","","","",""
"true","","","","","fullscreen","1","2.0.0","20910","p2mpwwhb0pg","14966","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","22031","p2mpwwhb0pg","1119","Welcome to the experiment. Press any key to begin.","m","","",""
"","","","","","survey-text","3","2.0.0","25381","p2mpwwhb0pg","3346","","{""participant_id"":""p73""}","","",""
"","","","","","html-keyboard-response","4","2.0.0","40154","p2mpwwhb0pg","14772","
        <p>Welcome to the experiment.</p>
        <p>In this task, you will see pairs of images.</p>
        <p>Your job is to determine whether the image on the right is a rotated version of the image on the left.</p>
        <p>Press the <strong>F</strong> key if the images are the same.</p>
        <p>Press the <strong>J</strong> key if the images are different.</p>
        <p>Press any key to begin.</p>
    ","k","","",""
"","","","","","html-keyboard-response","5","2.0.0","41161","p2mpwwhb0pg","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","6","2.0.0","51817","p2mpwwhb0pg","10649","stimuli/30_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","52320","p2mpwwhb0pg","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","8","2.0.0","53323","p2mpwwhb0pg","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","9","2.0.0","58625","p2mpwwhb0pg","5299","stimuli/13_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","10","2.0.0","59127","p2mpwwhb0pg","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","11","2.0.0","60130","p2mpwwhb0pg","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","12","2.0.0","62792","p2mpwwhb0pg","2659","stimuli/11_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","13","2.0.0","63294","p2mpwwhb0pg","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","14","2.0.0","64298","p2mpwwhb0pg","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","15","2.0.0","68983","p2mpwwhb0pg","4682","stimuli/43_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","16","2.0.0","69485","p2mpwwhb0pg","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","17","2.0.0","70489","p2mpwwhb0pg","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","18","2.0.0","81965","p2mpwwhb0pg","11473","stimuli/19_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","19","2.0.0","82467","p2mpwwhb0pg","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","20","2.0.0","83470","p2mpwwhb0pg","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","21","2.0.0","87573","p2mpwwhb0pg","4100","stimuli/13_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","22","2.0.0","88076","p2mpwwhb0pg","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","23","2.0.0","89080","p2mpwwhb0pg","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","24","2.0.0","93139","p2mpwwhb0pg","4057","stimuli/12_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","25","2.0.0","93641","p2mpwwhb0pg","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","26","2.0.0","94644","p2mpwwhb0pg","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","27","2.0.0","99536","p2mpwwhb0pg","4888","stimuli/5_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","28","2.0.0","100038","p2mpwwhb0pg","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","29","2.0.0","101041","p2mpwwhb0pg","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","30","2.0.0","103743","p2mpwwhb0pg","2698","stimuli/29_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","31","2.0.0","104245","p2mpwwhb0pg","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","32","2.0.0","105248","p2mpwwhb0pg","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","33","2.0.0","107669","p2mpwwhb0pg","2418","stimuli/1_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","34","2.0.0","108171","p2mpwwhb0pg","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","35","2.0.0","109174","p2mpwwhb0pg","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","36","2.0.0","113940","p2mpwwhb0pg","4763","stimuli/39_150.jpg","j","response","f","false"
"","","","","","html-keyboard-response","37","2.0.0","114442","p2mpwwhb0pg","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","38","2.0.0","115445","p2mpwwhb0pg","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","39","2.0.0","118951","p2mpwwhb0pg","3503","stimuli/42_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","40","2.0.0","119453","p2mpwwhb0pg","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","41","2.0.0","120456","p2mpwwhb0pg","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","42","2.0.0","123237","p2mpwwhb0pg","2779","stimuli/8_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","43","2.0.0","123739","p2mpwwhb0pg","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","44","2.0.0","124743","p2mpwwhb0pg","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","45","2.0.0","128010","p2mpwwhb0pg","3265","stimuli/35_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","46","2.0.0","128513","p2mpwwhb0pg","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","47","2.0.0","129516","p2mpwwhb0pg","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","48","2.0.0","132480","p2mpwwhb0pg","2961","stimuli/17_150.jpg","f","response","f","true"
