"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","2299","p2snqdorn1d","","","","","",""
"true","","","","","fullscreen","1","2.0.0","4662","p2snqdorn1d","1360","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","5505","p2snqdorn1d","841","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","survey-text","3","2.0.0","7404","p2snqdorn1d","1895","","{""participant_id"":""cheetah""}","","",""
"","","","","","html-keyboard-response","4","2.0.0","16547","p2snqdorn1d","9140","
        <p>Welcome to the experiment.</p>
        <p>In this task, you will see pairs of images.</p>
        <p>Your job is to determine whether the image on the right is a rotated version of the image on the left.</p>
        <p>Press the <strong>F</strong> key if the images are the same.</p>
        <p>Press the <strong>J</strong> key if the images are different.</p>
        <p>Press any key to begin.</p>
    "," ","","",""
"","","","","","html-keyboard-response","5","2.0.0","17551","p2snqdorn1d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","6","2.0.0","27515","p2snqdorn1d","9957","stimuli/29_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","28018","p2snqdorn1d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","8","2.0.0","29022","p2snqdorn1d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","9","2.0.0","36276","p2snqdorn1d","7251","stimuli/45_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","10","2.0.0","36778","p2snqdorn1d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","11","2.0.0","37781","p2snqdorn1d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","12","2.0.0","44019","p2snqdorn1d","6235","stimuli/32_100_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","13","2.0.0","44521","p2snqdorn1d","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","14","2.0.0","45525","p2snqdorn1d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","15","2.0.0","48141","p2snqdorn1d","2613","stimuli/34_150.jpg","j","response","f","false"
"","","","","","html-keyboard-response","16","2.0.0","48643","p2snqdorn1d","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","17","2.0.0","49646","p2snqdorn1d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","18","2.0.0","50770","p2snqdorn1d","1121","stimuli/32_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","19","2.0.0","51272","p2snqdorn1d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","20","2.0.0","52276","p2snqdorn1d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","21","2.0.0","54822","p2snqdorn1d","2543","stimuli/18_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","22","2.0.0","55325","p2snqdorn1d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","23","2.0.0","56329","p2snqdorn1d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","24","2.0.0","57291","p2snqdorn1d","959","stimuli/33_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","25","2.0.0","57793","p2snqdorn1d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","26","2.0.0","58797","p2snqdorn1d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","27","2.0.0","63584","p2snqdorn1d","4784","stimuli/37_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","28","2.0.0","64086","p2snqdorn1d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","29","2.0.0","65088","p2snqdorn1d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","30","2.0.0","66957","p2snqdorn1d","1866","stimuli/1_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","31","2.0.0","67460","p2snqdorn1d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","32","2.0.0","68463","p2snqdorn1d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","33","2.0.0","70512","p2snqdorn1d","2045","stimuli/6_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","34","2.0.0","71014","p2snqdorn1d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
