"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","14089","pht22x40vxj","","","","","",""
"true","","","","","fullscreen","1","2.0.0","16062","pht22x40vxj","969","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","16721","pht22x40vxj","658","Welcome to the experiment. Press any key to begin.","b","","",""
"","","","","","survey-text","3","2.0.0","18746","pht22x40vxj","2021","","{""participant_id"":""  \t antelope""}","","",""
"","","","","","html-keyboard-response","4","2.0.0","21351","pht22x40vxj","2604","
        <p>Welcome to the experiment.</p>
        <p>In this task, you will see pairs of images.</p>
        <p>Your job is to determine whether the image on the right is a rotated version of the image on the left.</p>
        <p>Press the <strong>F</strong> key if the images are the same.</p>
        <p>Press the <strong>J</strong> key if the images are different.</p>
        <p>Press any key to begin.</p>
    ","h","","",""
"","","","","","html-keyboard-response","5","2.0.0","22354","pht22x40vxj","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","6","2.0.0","24849","pht22x40vxj","2491","stimuli/46_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","25353","pht22x40vxj","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","8","2.0.0","26356","pht22x40vxj","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","9","2.0.0","27504","pht22x40vxj","1146","stimuli/34_50.jpg","j","response","f","false"
"","","","","","html-keyboard-response","10","2.0.0","28007","pht22x40vxj","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","11","2.0.0","29010","pht22x40vxj","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","12","2.0.0","31498","pht22x40vxj","2486","stimuli/41_0_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","13","2.0.0","31999","pht22x40vxj","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","14","2.0.0","33002","pht22x40vxj","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","15","2.0.0","36254","pht22x40vxj","3249","stimuli/9_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","16","2.0.0","36757","pht22x40vxj","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","17","2.0.0","37760","pht22x40vxj","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","18","2.0.0","38240","pht22x40vxj","477","stimuli/15_50.jpg","j","response","f","false"
"","","","","","html-keyboard-response","19","2.0.0","38742","pht22x40vxj","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","20","2.0.0","39744","pht22x40vxj","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","21","2.0.0","40294","pht22x40vxj","547","stimuli/27_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","22","2.0.0","40797","pht22x40vxj","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","23","2.0.0","41800","pht22x40vxj","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","24","2.0.0","42090","pht22x40vxj","287","stimuli/6_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","25","2.0.0","42593","pht22x40vxj","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","26","2.0.0","43595","pht22x40vxj","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","27","2.0.0","47643","pht22x40vxj","4046","stimuli/23_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","28","2.0.0","48146","pht22x40vxj","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","29","2.0.0","49149","pht22x40vxj","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","30","2.0.0","52172","pht22x40vxj","3021","stimuli/22_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","31","2.0.0","52675","pht22x40vxj","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","32","2.0.0","53678","pht22x40vxj","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","33","2.0.0","55520","pht22x40vxj","1840","stimuli/32_100_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","34","2.0.0","56022","pht22x40vxj","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","35","2.0.0","57025","pht22x40vxj","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","36","2.0.0","59566","pht22x40vxj","2538","stimuli/48_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","37","2.0.0","60068","pht22x40vxj","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","38","2.0.0","61071","pht22x40vxj","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","39","2.0.0","61484","pht22x40vxj","411","stimuli/20_50_R.jpg","j","response","j","true"
