"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","6398","pkgr5vfo76d","","","","","",""
"true","","","","","fullscreen","1","2.0.0","11061","pkgr5vfo76d","3657","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","12682","pkgr5vfo76d","1620","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","survey-text","3","2.0.0","48918","pkgr5vfo76d","36234","","{""participant_id"":""porcupine""}","","",""
"","","","","","html-keyboard-response","4","2.0.0","59033","pkgr5vfo76d","10114","
        <p>Welcome to the experiment.</p>
        <p>In this task, you will see pairs of images.</p>
        <p>Your job is to determine whether the image on the right is a rotated version of the image on the left.</p>
        <p>Press the <strong>F</strong> key if the images are the same.</p>
        <p>Press the <strong>J</strong> key if the images are different.</p>
        <p>Press any key to begin.</p>
    "," ","","",""
"","","","","","html-keyboard-response","5","2.0.0","60035","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","6","2.0.0","63405","pkgr5vfo76d","3366","stimuli/26_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","63906","pkgr5vfo76d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","8","2.0.0","64909","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","9","2.0.0","68729","pkgr5vfo76d","3819","stimuli/35_50.jpg","j","response","f","false"
"","","","","","html-keyboard-response","10","2.0.0","69231","pkgr5vfo76d","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","11","2.0.0","70234","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","12","2.0.0","74072","pkgr5vfo76d","3837","stimuli/18_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","13","2.0.0","74573","pkgr5vfo76d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","14","2.0.0","75575","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","15","2.0.0","79296","pkgr5vfo76d","3720","stimuli/24_150_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","16","2.0.0","79798","pkgr5vfo76d","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","17","2.0.0","80801","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","18","2.0.0","85216","pkgr5vfo76d","4414","stimuli/22_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","19","2.0.0","85718","pkgr5vfo76d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","20","2.0.0","86721","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","21","2.0.0","89463","pkgr5vfo76d","2740","stimuli/37_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","22","2.0.0","89968","pkgr5vfo76d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","23","2.0.0","90971","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","24","2.0.0","94297","pkgr5vfo76d","3324","stimuli/48_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","25","2.0.0","94798","pkgr5vfo76d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","26","2.0.0","95801","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","27","2.0.0","98781","pkgr5vfo76d","2979","stimuli/14_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","28","2.0.0","99283","pkgr5vfo76d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","29","2.0.0","100286","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","30","2.0.0","102187","pkgr5vfo76d","1900","stimuli/43_50_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","31","2.0.0","102688","pkgr5vfo76d","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","32","2.0.0","103690","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","33","2.0.0","108654","pkgr5vfo76d","4963","stimuli/35_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","34","2.0.0","109156","pkgr5vfo76d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","35","2.0.0","110159","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","36","2.0.0","113906","pkgr5vfo76d","3746","stimuli/21_50.jpg","j","response","f","false"
"","","","","","html-keyboard-response","37","2.0.0","114407","pkgr5vfo76d","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","38","2.0.0","115410","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","39","2.0.0","123569","pkgr5vfo76d","8158","stimuli/27_100_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","40","2.0.0","124071","pkgr5vfo76d","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","41","2.0.0","125074","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","42","2.0.0","127419","pkgr5vfo76d","2344","stimuli/39_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","43","2.0.0","127920","pkgr5vfo76d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","44","2.0.0","128923","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","45","2.0.0","134096","pkgr5vfo76d","5172","stimuli/6_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","46","2.0.0","134598","pkgr5vfo76d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","47","2.0.0","135600","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","48","2.0.0","139251","pkgr5vfo76d","3650","stimuli/44_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","49","2.0.0","139752","pkgr5vfo76d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","50","2.0.0","140753","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","51","2.0.0","148943","pkgr5vfo76d","8189","stimuli/9_100.jpg","j","response","f","false"
"","","","","","html-keyboard-response","52","2.0.0","149444","pkgr5vfo76d","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","53","2.0.0","150446","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","54","2.0.0","152860","pkgr5vfo76d","2412","stimuli/23_50_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","55","2.0.0","153361","pkgr5vfo76d","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","56","2.0.0","154363","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","57","2.0.0","157890","pkgr5vfo76d","3525","stimuli/23_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","58","2.0.0","158392","pkgr5vfo76d","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","59","2.0.0","159394","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","60","2.0.0","163252","pkgr5vfo76d","3857","stimuli/26_100.jpg","j","response","f","false"
"","","","","","html-keyboard-response","61","2.0.0","163754","pkgr5vfo76d","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","62","2.0.0","164756","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","63","2.0.0","169303","pkgr5vfo76d","4546","stimuli/48_100_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","64","2.0.0","169805","pkgr5vfo76d","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","65","2.0.0","170807","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","66","2.0.0","172923","pkgr5vfo76d","2115","stimuli/31_150.jpg","j","response","f","false"
"","","","","","html-keyboard-response","67","2.0.0","173425","pkgr5vfo76d","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","68","2.0.0","174427","pkgr5vfo76d","null","<div style=""font-size: 75px;"">+</div>","null","","",""
