"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","7310","pmzasujfyt4","","","","","",""
"true","","","","","fullscreen","1","2.0.0","9328","pmzasujfyt4","1015","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","11393","pmzasujfyt4","2063","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","survey-text","3","2.0.0","14618","pmzasujfyt4","3223","","{""participant_id"":""flamingo""}","","",""
"","","","","","html-keyboard-response","4","2.0.0","15783","pmzasujfyt4","1163","
        <p>Welcome to the experiment.</p>
        <p>In this task, you will see pairs of images.</p>
        <p>Your job is to determine whether the image on the right is a rotated version of the image on the left.</p>
        <p>Press the <strong>F</strong> key if the images are the same.</p>
        <p>Press the <strong>J</strong> key if the images are different.</p>
        <p>Press any key to begin.</p>
    "," ","","",""
"","","","","","html-keyboard-response","5","2.0.0","16786","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","6","2.0.0","18442","pmzasujfyt4","1653","stimuli/28_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","7","2.0.0","18944","pmzasujfyt4","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","8","2.0.0","19947","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","9","2.0.0","22033","pmzasujfyt4","2085","stimuli/9_100_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","10","2.0.0","22535","pmzasujfyt4","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","11","2.0.0","23539","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","12","2.0.0","25740","pmzasujfyt4","2200","stimuli/48_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","13","2.0.0","26242","pmzasujfyt4","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","14","2.0.0","27245","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","15","2.0.0","29938","pmzasujfyt4","2692","stimuli/3_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","16","2.0.0","30440","pmzasujfyt4","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","17","2.0.0","31443","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","18","2.0.0","32468","pmzasujfyt4","1024","stimuli/47_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","19","2.0.0","32969","pmzasujfyt4","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","20","2.0.0","33973","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","21","2.0.0","35998","pmzasujfyt4","2023","stimuli/33_150.jpg","j","response","f","false"
"","","","","","html-keyboard-response","22","2.0.0","36499","pmzasujfyt4","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","23","2.0.0","37503","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","24","2.0.0","38893","pmzasujfyt4","1389","stimuli/45_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","25","2.0.0","39395","pmzasujfyt4","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","26","2.0.0","40397","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","27","2.0.0","42477","pmzasujfyt4","2079","stimuli/17_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","28","2.0.0","42979","pmzasujfyt4","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","29","2.0.0","43981","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","30","2.0.0","46627","pmzasujfyt4","2644","stimuli/31_100.jpg","j","response","f","false"
"","","","","","html-keyboard-response","31","2.0.0","47128","pmzasujfyt4","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","32","2.0.0","48130","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","33","2.0.0","49595","pmzasujfyt4","1464","stimuli/9_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","34","2.0.0","50097","pmzasujfyt4","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","35","2.0.0","51100","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","36","2.0.0","52790","pmzasujfyt4","1688","stimuli/47_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","37","2.0.0","53291","pmzasujfyt4","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","38","2.0.0","54293","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","39","2.0.0","55627","pmzasujfyt4","1332","stimuli/44_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","40","2.0.0","56129","pmzasujfyt4","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","41","2.0.0","57130","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","42","2.0.0","58873","pmzasujfyt4","1742","stimuli/31_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","43","2.0.0","59374","pmzasujfyt4","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","44","2.0.0","60377","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","45","2.0.0","61308","pmzasujfyt4","930","stimuli/6_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","46","2.0.0","61809","pmzasujfyt4","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","47","2.0.0","62812","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","48","2.0.0","63595","pmzasujfyt4","782","stimuli/41_0_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","49","2.0.0","64097","pmzasujfyt4","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","50","2.0.0","65100","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","51","2.0.0","67783","pmzasujfyt4","2682","stimuli/34_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","52","2.0.0","68284","pmzasujfyt4","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","53","2.0.0","69288","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","54","2.0.0","73454","pmzasujfyt4","4165","stimuli/27_150.jpg","j","response","f","false"
"","","","","","html-keyboard-response","55","2.0.0","73956","pmzasujfyt4","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","56","2.0.0","74958","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","57","2.0.0","76875","pmzasujfyt4","1916","stimuli/25_150_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","58","2.0.0","77377","pmzasujfyt4","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","59","2.0.0","78380","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","60","2.0.0","80385","pmzasujfyt4","2004","stimuli/21_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","61","2.0.0","80887","pmzasujfyt4","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","62","2.0.0","81888","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","63","2.0.0","83584","pmzasujfyt4","1695","stimuli/14_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","64","2.0.0","84085","pmzasujfyt4","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","65","2.0.0","85088","pmzasujfyt4","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","66","2.0.0","86756","pmzasujfyt4","1667","stimuli/24_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","67","2.0.0","87258","pmzasujfyt4","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
