"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","4172","pn6xyglvp42","","","","","",""
"true","","","","","fullscreen","1","2.0.0","6281","pn6xyglvp42","1104","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","11277","pn6xyglvp42","4994","Welcome to the experiment. Press any key to begin.","n","","",""
"","","","","","survey-text","3","2.0.0","19160","pn6xyglvp42","7878","","{""participant_id"":""dolphin""}","","",""
"","","","","","html-keyboard-response","4","2.0.0","26365","pn6xyglvp42","7203","
        <p>Welcome to the experiment.</p>
        <p>In this task, you will see pairs of images.</p>
        <p>Your job is to determine whether the image on the right is a rotated version of the image on the left.</p>
        <p>Press the <strong>F</strong> key if the images are the same.</p>
        <p>Press the <strong>J</strong> key if the images are different.</p>
        <p>Press any key to begin.</p>
    "," ","","",""
"","","","","","html-keyboard-response","5","2.0.0","27368","pn6xyglvp42","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","6","2.0.0","29291","pn6xyglvp42","1919","stimuli/45_50_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","7","2.0.0","29794","pn6xyglvp42","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","8","2.0.0","30798","pn6xyglvp42","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","9","2.0.0","32483","pn6xyglvp42","1682","stimuli/39_100.jpg","j","response","f","false"
"","","","","","html-keyboard-response","10","2.0.0","32985","pn6xyglvp42","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","11","2.0.0","33988","pn6xyglvp42","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","12","2.0.0","37427","pn6xyglvp42","3437","stimuli/21_50.jpg","j","response","f","false"
"","","","","","html-keyboard-response","13","2.0.0","37929","pn6xyglvp42","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","14","2.0.0","38933","pn6xyglvp42","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","15","2.0.0","41900","pn6xyglvp42","2966","stimuli/20_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","16","2.0.0","42403","pn6xyglvp42","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","17","2.0.0","43406","pn6xyglvp42","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","18","2.0.0","45388","pn6xyglvp42","1980","stimuli/6_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","19","2.0.0","45889","pn6xyglvp42","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","20","2.0.0","46893","pn6xyglvp42","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","21","2.0.0","47610","pn6xyglvp42","715","stimuli/44_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","22","2.0.0","48112","pn6xyglvp42","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","23","2.0.0","49116","pn6xyglvp42","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","24","2.0.0","50138","pn6xyglvp42","1020","stimuli/2_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","25","2.0.0","50640","pn6xyglvp42","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","26","2.0.0","51643","pn6xyglvp42","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","27","2.0.0","52410","pn6xyglvp42","765","stimuli/42_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","28","2.0.0","52913","pn6xyglvp42","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
