"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","2116","pnu5fcemr86","","","","","",""
"true","","","","","fullscreen","1","2.0.0","9013","pnu5fcemr86","5890","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","10505","pnu5fcemr86","1489","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","survey-text","3","2.0.0","23261","pnu5fcemr86","12753","","{""participant_id"":""koala""}","","",""
"","","","","","html-keyboard-response","4","2.0.0","50129","pnu5fcemr86","26866","
        <p>Welcome to the experiment.</p>
        <p>In this task, you will see pairs of images.</p>
        <p>Your job is to determine whether the image on the right is a rotated version of the image on the left.</p>
        <p>Press the <strong>F</strong> key if the images are the same.</p>
        <p>Press the <strong>J</strong> key if the images are different.</p>
        <p>Press any key to begin.</p>
    ","f","","",""
"","","","","","html-keyboard-response","5","2.0.0","51141","pnu5fcemr86","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","6","2.0.0","56153","pnu5fcemr86","5004","stimuli/8_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","7","2.0.0","56656","pnu5fcemr86","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","8","2.0.0","57660","pnu5fcemr86","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","9","2.0.0","62230","pnu5fcemr86","4566","stimuli/17_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","10","2.0.0","62737","pnu5fcemr86","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","11","2.0.0","63749","pnu5fcemr86","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","12","2.0.0","68979","pnu5fcemr86","5227","stimuli/14_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","13","2.0.0","69484","pnu5fcemr86","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","14","2.0.0","70491","pnu5fcemr86","null","<div style=""font-size: 75px;"">+</div>","null","","",""
