"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","16707","pxfxcvaxbv7","","","","","",""
"true","","","","","fullscreen","1","2.0.0","19241","pxfxcvaxbv7","1526","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","20045","pxfxcvaxbv7","803","Welcome to the experiment. Press any key to begin.","s","","",""
"","","","","","survey-text","3","2.0.0","21826","pxfxcvaxbv7","1779","","{""participant_id"":""leopard""}","","",""
"","","","","","html-keyboard-response","4","2.0.0","26328","pxfxcvaxbv7","4501","
        <p>Welcome to the experiment.</p>
        <p>In this task, you will see pairs of images.</p>
        <p>Your job is to determine whether the image on the right is a rotated version of the image on the left.</p>
        <p>Press the <strong>F</strong> key if the images are the same.</p>
        <p>Press the <strong>J</strong> key if the images are different.</p>
        <p>Press any key to begin.</p>
    ","f","","",""
"","","","","","html-keyboard-response","5","2.0.0","27333","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","6","2.0.0","33933","pxfxcvaxbv7","6598","stimuli/17_0_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","7","2.0.0","34442","pxfxcvaxbv7","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","8","2.0.0","35446","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","9","2.0.0","41037","pxfxcvaxbv7","5591","stimuli/1_100_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","10","2.0.0","41540","pxfxcvaxbv7","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","11","2.0.0","42543","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","12","2.0.0","46568","pxfxcvaxbv7","4024","stimuli/30_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","13","2.0.0","47076","pxfxcvaxbv7","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","14","2.0.0","48079","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","15","2.0.0","51671","pxfxcvaxbv7","3591","stimuli/20_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","16","2.0.0","52172","pxfxcvaxbv7","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","17","2.0.0","53175","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","18","2.0.0","58684","pxfxcvaxbv7","5508","stimuli/11_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","19","2.0.0","59197","pxfxcvaxbv7","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","20","2.0.0","60199","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","21","2.0.0","64794","pxfxcvaxbv7","4594","stimuli/34_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","22","2.0.0","65297","pxfxcvaxbv7","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","23","2.0.0","66301","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","24","2.0.0","75408","pxfxcvaxbv7","9106","stimuli/48_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","25","2.0.0","75917","pxfxcvaxbv7","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","26","2.0.0","76919","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","27","2.0.0","78421","pxfxcvaxbv7","1501","stimuli/45_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","28","2.0.0","78927","pxfxcvaxbv7","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","29","2.0.0","79941","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","30","2.0.0","83404","pxfxcvaxbv7","3462","stimuli/26_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","31","2.0.0","83911","pxfxcvaxbv7","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","32","2.0.0","84917","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","33","2.0.0","86419","pxfxcvaxbv7","1501","stimuli/10_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","34","2.0.0","86923","pxfxcvaxbv7","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","35","2.0.0","87929","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","36","2.0.0","89880","pxfxcvaxbv7","1950","stimuli/20_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","37","2.0.0","90389","pxfxcvaxbv7","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","38","2.0.0","91394","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","39","2.0.0","93047","pxfxcvaxbv7","1652","stimuli/36_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","40","2.0.0","93552","pxfxcvaxbv7","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","41","2.0.0","94555","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","42","2.0.0","96720","pxfxcvaxbv7","2164","stimuli/6_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","43","2.0.0","97221","pxfxcvaxbv7","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","44","2.0.0","98231","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","45","2.0.0","101128","pxfxcvaxbv7","2897","stimuli/28_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","46","2.0.0","101629","pxfxcvaxbv7","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","47","2.0.0","102632","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","48","2.0.0","104574","pxfxcvaxbv7","1941","stimuli/3_0_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","49","2.0.0","105088","pxfxcvaxbv7","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","50","2.0.0","106099","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","51","2.0.0","108259","pxfxcvaxbv7","2159","stimuli/47_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","52","2.0.0","108762","pxfxcvaxbv7","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","53","2.0.0","109767","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","54","2.0.0","111307","pxfxcvaxbv7","1539","stimuli/19_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","55","2.0.0","111819","pxfxcvaxbv7","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","56","2.0.0","112823","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","57","2.0.0","114957","pxfxcvaxbv7","2133","stimuli/27_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","58","2.0.0","115468","pxfxcvaxbv7","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","59","2.0.0","116478","pxfxcvaxbv7","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","60","2.0.0","117362","pxfxcvaxbv7","883","stimuli/20_0.jpg","f","response","f","true"
