"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","5281","pzxd42gxq7x","","","","","",""
"true","","","","","fullscreen","1","2.0.0","9739","pzxd42gxq7x","3454","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","11639","pzxd42gxq7x","1899","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","survey-text","3","2.0.0","14591","pzxd42gxq7x","2950","","{""participant_id"":""seal""}","","",""
"","","","","","html-keyboard-response","4","2.0.0","21415","pzxd42gxq7x","6824","
        <p>Welcome to the experiment.</p>
        <p>In this task, you will see pairs of images.</p>
        <p>Your job is to determine whether the image on the right is a rotated version of the image on the left.</p>
        <p>Press the <strong>F</strong> key if the images are the same.</p>
        <p>Press the <strong>J</strong> key if the images are different.</p>
        <p>Press any key to begin.</p>
    "," ","","",""
"","","","","","html-keyboard-response","5","2.0.0","22418","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","6","2.0.0","26255","pzxd42gxq7x","3834","stimuli/5_100_R.jpg","f","response","j","false"
"","","","","","html-keyboard-response","7","2.0.0","26756","pzxd42gxq7x","null","<p style=""border: 5px solid red;"">Incorrect.</p>","null","","",""
"","","","","","html-keyboard-response","8","2.0.0","27759","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","9","2.0.0","30122","pzxd42gxq7x","2362","stimuli/28_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","10","2.0.0","30624","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","11","2.0.0","31627","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","12","2.0.0","33492","pzxd42gxq7x","1864","stimuli/47_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","13","2.0.0","33994","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","14","2.0.0","34996","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","15","2.0.0","37340","pzxd42gxq7x","2343","stimuli/19_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","16","2.0.0","37842","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","17","2.0.0","38844","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","18","2.0.0","41203","pzxd42gxq7x","2357","stimuli/15_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","19","2.0.0","41704","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","20","2.0.0","42707","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","21","2.0.0","45554","pzxd42gxq7x","2846","stimuli/21_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","22","2.0.0","46056","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","23","2.0.0","47058","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","24","2.0.0","48566","pzxd42gxq7x","1506","stimuli/21_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","25","2.0.0","49068","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","26","2.0.0","50071","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","27","2.0.0","51472","pzxd42gxq7x","1400","stimuli/41_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","28","2.0.0","51974","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","29","2.0.0","52977","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","30","2.0.0","54970","pzxd42gxq7x","1992","stimuli/9_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","31","2.0.0","55472","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","32","2.0.0","56474","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","33","2.0.0","58489","pzxd42gxq7x","2014","stimuli/9_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","34","2.0.0","58990","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","35","2.0.0","59993","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","36","2.0.0","62419","pzxd42gxq7x","2425","stimuli/36_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","37","2.0.0","62921","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","38","2.0.0","63923","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","39","2.0.0","65588","pzxd42gxq7x","1664","stimuli/5_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","40","2.0.0","66089","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","41","2.0.0","67091","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","42","2.0.0","69361","pzxd42gxq7x","2269","stimuli/10_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","43","2.0.0","69863","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","44","2.0.0","70866","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","45","2.0.0","72913","pzxd42gxq7x","2045","stimuli/40_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","46","2.0.0","73414","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","47","2.0.0","74417","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","48","2.0.0","77004","pzxd42gxq7x","2586","stimuli/26_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","49","2.0.0","77506","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","50","2.0.0","78509","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","51","2.0.0","80369","pzxd42gxq7x","1859","stimuli/17_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","52","2.0.0","80870","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","53","2.0.0","81872","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","54","2.0.0","83132","pzxd42gxq7x","1258","stimuli/41_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","55","2.0.0","83633","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","56","2.0.0","84635","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","57","2.0.0","86627","pzxd42gxq7x","1991","stimuli/15_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","58","2.0.0","87128","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","59","2.0.0","88131","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","60","2.0.0","91664","pzxd42gxq7x","3532","stimuli/1_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","61","2.0.0","92165","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","62","2.0.0","93167","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","63","2.0.0","94947","pzxd42gxq7x","1779","stimuli/22_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","64","2.0.0","95448","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","65","2.0.0","96451","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","66","2.0.0","97496","pzxd42gxq7x","1044","stimuli/47_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","67","2.0.0","97998","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","68","2.0.0","99000","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","69","2.0.0","101226","pzxd42gxq7x","2225","stimuli/7_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","70","2.0.0","101727","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","71","2.0.0","102729","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","72","2.0.0","106195","pzxd42gxq7x","3465","stimuli/22_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","73","2.0.0","106697","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","74","2.0.0","107700","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","75","2.0.0","109789","pzxd42gxq7x","2088","stimuli/11_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","76","2.0.0","110289","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","77","2.0.0","111292","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","78","2.0.0","112459","pzxd42gxq7x","1166","stimuli/24_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","79","2.0.0","112960","pzxd42gxq7x","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","80","2.0.0","113963","pzxd42gxq7x","null","<div style=""font-size: 75px;"">+</div>","null","","",""
